Types,Card Name,Set Code,Number,Release Date
Creature — Phyrexian Zombie Knight,Eastern Paladin,USG,133,1998-10-12
Creature — Phyrexian Horror,Flesh Reaver,USG,136,1998-10-12
Creature — Phyrexian Zombie Dog,Hollow Dogs,USG,137,1998-10-12
Creature — Phyrexian Zombie,Phyrexian Ghoul,USG,148,1998-10-12
Creature — Phyrexian Human Cleric Minion,Priest of Gix,USG,150,1998-10-12
Creature — Zombie Minion,Reclusive Wight,USG,153,1998-10-12
Creature — Phyrexian Minion,Sleeper Agent,USG,159,1998-10-12
Creature — Worm Horror,Spined Fluke,USG,160,1998-10-12
Creature — Phyrexian Skeleton,Unworthy Dead,USG,163,1998-10-12
Creature — Trilobite Beast,Electryte,USG,183,1998-10-12
Creature — Viashino Shaman,Retromancer,USG,209,1998-10-12
Creature — Viashino,Viashino Outrider,USG,223,1998-10-12
Creature — Centaur,Citanul Centaurs,USG,243,1998-10-12
Legendary Artifact Creature — Golem,"Karn, Silver Golem",USG,298,1998-10-12
Artifact Creature — Cat,Wirecat,USG,317,1998-10-12
Creature — Beeble,Bouncing Beebles,ULG,28,1999-02-15
Creature — Sponge,Walking Sponge,ULG,47,1999-02-15
Creature — Phyrexian Carrier,Phyrexian Debaser,ULG,59,1999-02-15
Creature — Viashino Scout,Viashino Sandscout,ULG,96,1999-02-15
Creature — Elk Beast,Gang of Elk,ULG,102,1999-02-15
Creature — Metathran Soldier,Metathran Elite,UDS,38,1999-06-07
Creature — Cyclops Giant,Bloodshot Cyclops,UDS,77,1999-06-07
Creature — Goat Beast,Colos Yearling,UDS,79,1999-06-07
Creature — Bird Beast,Hunting Moa,UDS,109,1999-06-07
Creature — Elf Wizard,Ivy Seer,UDS,110,1999-06-07
Artifact Creature — Masticore,Masticore,UDS,134,1999-06-07
Legendary Creature — Human Soldier Warrior,"Guan Yu, Sainted Warrior",PTK,6,1999-07-06
Creature — Scarecrow Soldier,Straw Soldiers,PTK,54,1999-07-06
Creature — Human Soldier Rogue,Wu Spy,PTK,63,1999-07-06
Creature — Human Soldier Assassin,Wei Assassins,PTK,86,1999-07-06
Creature — Human Barbarian Soldier,Barbarian General,PTK,100,1999-07-06
Legendary Creature — Human Barbarian Soldier,"Meng Huo, Barbarian King",PTK,142,1999-07-06
Creature — Human Mystic,Taoist Hermit,PTK,150,1999-07-06
Creature — Rabbit,Zodiac Rabbit,PTK,162,1999-07-06
Creature — Human Rebel,Ballista Squad,MMQ,5,1999-10-04
Creature — Human Spellshaper,Charm Peddler,MMQ,6,1999-10-04
Creature — Ogre Rebel,Cho-Arrim Bruiser,MMQ,9,1999-10-04
Legendary Creature — Human Rebel,"Cho-Manno, Revolutionary",MMQ,11,1999-10-04
Creature — Cat Rebel,Jhovall Queen,MMQ,25,1999-10-04
Creature — Human Rebel Warrior,Pious Warrior,MMQ,34,1999-10-04
Creature — Human Rebel Scout,Rappelling Scouts,MMQ,41,1999-10-04
Creature — Unicorn Monger,Wishmonger,MMQ,57,1999-10-04
Creature — Nautilus Beast,Chambered Nautilus,MMQ,64,1999-10-04
Creature — Illusion Spirit,Chameleon Spirit,MMQ,65,1999-10-04
Creature — Jellyfish Beast,Glowing Anemone,MMQ,81,1999-10-04
Creature — Merfolk Spellshaper,Overtaker,MMQ,89,1999-10-04
Creature — Human Monger,Sailmonger,MMQ,95,1999-10-04
Creature — Horror Mercenary,Cateran Brute,MMQ,120,1999-10-04
Creature — Harpy Mercenary,Molting Harpy,MMQ,148,1999-10-04
Creature — Human Spellshaper Assassin,Notorious Assassin,MMQ,150,1999-10-04
Creature — Lizard Mercenary,Rampart Crawler,MMQ,156,1999-10-04
Creature — Boar Monger,Scandalmonger,MMQ,158,1999-10-04
Creature — Human Mercenary Assassin,Silent Assassin,MMQ,160,1999-10-04
Creature — Badger Beast,Rock Badger,MMQ,210,1999-10-04
Legendary Creature — Goblin,"Squee, Goblin Nabob",MMQ,214,1999-10-04
Creature — Minotaur Monger,Warmonger,MMQ,225,1999-10-04
Creature — Dryad Spellshaper,Dawnstrider,MMQ,237,1999-10-04
Creature — Satyr Beast,Lumbering Satyr,MMQ,257,1999-10-04
Creature — Rhino Beast,Snorting Gahr,MMQ,272,1999-10-04
Creature — Monger,Squallmonger,MMQ,276,1999-10-04
Artifact Creature — Dragon Wurm,Henge Guardian,MMQ,297,1999-10-04
Artifact Creature — Spellshaper,Toymaker,MMQ,314,1999-10-04
Creature — Rebel Bird,Defiant Falcon,NEM,6,2000-02-14
Creature — Kor Rebel,Lawbringer,NEM,10,2000-02-14
Creature — Crab Beast,Oraxid,NEM,35,2000-02-14
Creature — Homunculus Illusion,Sneaky Homunculus,NEM,44,2000-02-14
Legendary Creature — Phyrexian Vampire Noble,Ascendant Evincar,NEM,51,2000-02-14
Creature — Phyrexian Zombie Mercenary,Phyrexian Driver,NEM,64,2000-02-14
Creature — Elf Spellshaper,Plague Witch,NEM,66,2000-02-14
Creature — Phyrexian Zombie Mercenary Assassin,Rathi Assassin,NEM,67,2000-02-14
Creature — Phyrexian Horror Mercenary,Rathi Fiend,NEM,68,2000-02-14
Legendary Creature — Phyrexian Shapeshifter,Volrath the Fallen,NEM,75,2000-02-14
Creature — Human Spellshaper Warrior,Bola Warrior,NEM,78,2000-02-14
Creature — Beast Warrior,Laccolith Warrior,NEM,90,2000-02-14
Creature — Insect Worm,Coiling Woodworm,NEM,103,2000-02-14
Creature — Plant Dog,Mossdog,NEM,106,2000-02-14
Legendary Creature — Human Spellshaper,Mageta the Lion,PCY,13,2000-06-05
Creature — Human Rebel Mercenary,Mercenary Informer,PCY,15,2000-06-05
Creature — Horse Rebel,Trenching Steed,PCY,26,2000-06-05
Creature — Worm Mercenary,Death Charmer,PCY,61,2000-06-05
Legendary Creature — Horror Spellshaper,"Greel, Mind Raker",PCY,66,2000-06-05
Creature — Bird Mercenary,Pit Raptor,PCY,72,2000-06-05
Creature — Snake Wall,Wall of Vipers,PCY,80,2000-06-05
Creature — Human Soldier Berserker,Keldon Berserker,PCY,93,2000-06-05
Artifact Creature — Angel,Copper-Leaf Angel,PCY,137,2000-06-05
Artifact Creature — Golem Warrior,Hollow Warrior,PCY,138,2000-06-05
Legendary Creature — Merfolk Noble,Empress Galina,INV,54,2000-10-02
Creature — Metathran,Metathran Aerostat,INV,61,2000-10-02
Creature — Metathran Zombie,Metathran Zombie,INV,63,2000-10-02
Creature — Metathran Wizard,Sky Weaver,INV,74,2000-10-02
Creature — Kavu,Firescreamer,INV,106,2000-10-02
Creature — Phyrexian Insect,Phyrexian Battleflies,INV,114,2000-10-02
Creature — Kavu Scout,Kavu Scout,INV,151,2000-10-02
Creature — Elf Nomad,Nomadic Elf,INV,200,2000-10-02
Creature — Treefolk Cleric,Treefolk Healer,INV,218,2000-10-02
Legendary Creature — Treefolk,Verdeloth the Ancient,INV,220,2000-10-02
Creature — Cat Soldier,Armored Guardian,INV,230,2000-10-02
Legendary Creature — Dragon,"Crosis, the Purger",INV,242,2000-10-02
Legendary Creature — Bird Wizard,"Kangee, Aerie Keeper",INV,253,2000-10-02
Creature — Elf Knight,Llanowar Knight,INV,254,2000-10-02
Creature — Cat Beast Warrior,Sabertooth Nishoba,INV,268,2000-10-02
Creature — Human Cleric Archer,Samite Archer,INV,269,2000-10-02
Creature — Phyrexian Barbarian Zombie,Shivan Zombie,INV,271,2000-10-02
Creature — Merfolk Zombie,Vodalian Zombie,INV,286,2000-10-02
Creature — Elf Barbarian,Yavimaya Barbarian,INV,290,2000-10-02
Legendary Creature — Minotaur Warrior,"Tahngarth, Talruum Hero",PLS,74,2001-02-05
Creature — Elf Druid Scout,Quirion Explorer,PLS,90,2001-02-05
Legendary Creature — Phyrexian Human Wizard,"Ertai, the Corrupted",PLS,107,2001-02-05
Creature — Phelddagrif,Questing Phelddagrif,PLS,119,2001-02-05
Land — Lair,Crosis's Catacombs,PLS,136,2001-02-05
Creature — Human Soldier Knight,Angelfire Crusader,APC,1,2001-06-04
Creature — Human Flagbearer,Coalition Honor Guard,APC,3,2001-06-04
Creature — Volver,Degavolver,APC,6,2001-06-04
Creature — Cat Spirit,Spectral Lynx,APC,17,2001-06-04
Creature — Zombie Druid,Quagmire Druid,APC,51,2001-06-04
Creature — Zombie Snake,Zombie Boa,APC,54,2001-06-04
Creature — Minotaur Wizard,Raka Disciple,APC,66,2001-06-04
Legendary Creature — Illusion,Cromat,APC,94,2001-06-04
Creature — Fungus Beast,Fungal Shambler,APC,100,2001-06-04
Creature — Elf Merfolk,Gaea's Skyfolk,APC,101,2001-06-04
Creature — Goblin Soldier,Goblin Legionnaire,APC,103,2001-06-04
Creature — Zombie Elf,Llanowar Dead,APC,109,2001-06-04
Creature — Zombie Soldier Warrior,Putrid Warrior,APC,117,2001-06-04
Creature — Merfolk Goblin,Razorfin Hunter,APC,119,2001-06-04
Creature — Druid,Lydari Druid,PSDG,5,2001-06-28
Creature — Bird Soldier Archer,Aven Archer,ODY,6,2001-10-01
Creature — Bird Soldier,Aven Cloudchaser,ODY,7,2001-10-01
Creature — Antelope,Graceful Antelope,ODY,24,2001-10-01
Legendary Creature — Bird Soldier,Lieutenant Kirtar,ODY,29,2001-10-01
Creature — Human Nomad Mystic,Mystic Crusader,ODY,33,2001-10-01
Legendary Creature — Human Nomad,"Pianna, Nomad Captain",ODY,39,2001-10-01
Creature — Angel Horror,Wayward Angel,ODY,57,2001-10-01
Legendary Creature — Cephalid Noble,"Aboshan, Cephalid Emperor",ODY,58,2001-10-01
Creature — Bird Soldier Wizard,Aven Windreader,ODY,65,2001-10-01
Creature — Cephalid,Cephalid Broker,ODY,71,2001-10-01
Creature — Cephalid Rogue,Cephalid Looter,ODY,72,2001-10-01
Creature — Cephalid Wizard Scout,Cephalid Scout,ODY,74,2001-10-01
Creature — Illusion Dog,Phantom Whelp,ODY,93,2001-10-01
Legendary Creature — Human Minion,"Braids, Cabal Minion",ODY,117,2001-10-01
Creature — Human Rat Minion,Dirty Wererat,ODY,130,2001-10-01
Creature — Zombie Assassin,Zombie Assassin,ODY,168,2001-10-01
Legendary Creature — Human Barbarian,"Kamahl, Pit Fighter",ODY,198,2001-10-01
Creature — Minotaur Scout,Minotaur Explorer,ODY,206,2001-10-01
Creature — Elemental Cat,Pardic Firecat,ODY,211,2001-10-01
Creature — Dwarf Wizard,Spark Mage,ODY,222,2001-10-01
Creature — Squirrel Beast,Krosan Beast,ODY,248,2001-10-01
Creature — Elephant Wurm,Metamorphic Wurm,ODY,250,2001-10-01
Creature — Insect Druid,Nantuko Disciple,ODY,253,2001-10-01
Legendary Creature — Centaur Druid,"Seton, Krosan Protector",ODY,267,2001-10-01
Creature — Squirrel,Squirrel Mob,ODY,273,2001-10-01
Creature — Human Bear Druid,Werebear,ODY,282,2001-10-01
Legendary Creature — Atog,Atogatog,ODY,286,2001-10-01
Creature — Vampire Dragon,Vampiric Dragon,ODY,296,2001-10-01
Creature — Human Nomad Horror,Possessed Nomad,TOR,13,2002-02-04
Legendary Creature — Merfolk Wizard,Ambassador Laquatus,TOR,23,2002-02-04
Creature — Cephalid Noble,Cephalid Aristocrat,TOR,27,2002-02-04
Creature — Cephalid Wizard,Cephalid Illusionist,TOR,28,2002-02-04
Creature — Elemental Bird,Hydromorph Gull,TOR,40,2002-02-04
Creature — Bird Soldier Horror,Possessed Aven,TOR,45,2002-02-04
Creature — Zombie Wurm,Carrion Wurm,TOR,55,2002-02-04
Creature — Nightmare Horror,Faceless Butcher,TOR,60,2002-02-04
Creature — Insect Shade,Nantuko Shade,TOR,74,2002-02-04
Creature — Zombie Imp,Putrid Imp,TOR,77,2002-02-04
Creature — Zombie Scout,Zombie Trailblazer,TOR,89,2002-02-04
Legendary Creature — Dwarf Barbarian,Balthor the Stout,TOR,91,2002-02-04
Creature — Human Barbarian Beast,Barbarian Outcast,TOR,92,2002-02-04
Creature — Elemental Ox Beast,Longhorn Firebeast,TOR,103,2002-02-04
Creature — Nightmare Beast,Petradon,TOR,108,2002-02-04
Creature — Human Barbarian Horror,Possessed Barbarian,TOR,111,2002-02-04
Creature — Frog Beast,Anurid Scavenger,TOR,119,2002-02-04
Creature — Centaur Horror,Possessed Centaur,TOR,137,2002-02-04
Creature — Centaur Druid Scout Archer,Seton's Scout,TOR,138,2002-02-04
Creature — Incarnation,Glory,JUD,11,2002-05-27
Creature — Human Nomad Cleric,Nomad Mythmaker,JUD,15,2002-05-27
Creature — Bird Soldier Spirit,Phantom Flock,JUD,16,2002-05-27
Creature — Spirit Nomad,Phantom Nomad,JUD,17,2002-05-27
Creature — Bird Wizard,Aven Fogbringer,JUD,34,2002-05-27
Creature — Nightmare Fish Beast,Wormfang Behemoth,JUD,55,2002-05-27
Creature — Nightmare Crab,Wormfang Crab,JUD,56,2002-05-27
Creature — Nightmare Drake,Wormfang Drake,JUD,57,2002-05-27
Creature — Nightmare Salamander Beast,Wormfang Newt,JUD,59,2002-05-27
Creature — Nightmare Turtle Beast,Wormfang Turtle,JUD,60,2002-05-27
Legendary Creature — Zombie Dwarf,Balthor the Defiled,JUD,61,2002-05-27
Creature — Werewolf Minion,Treacherous Werewolf,JUD,76,2002-05-27
Creature — Elemental Boar Beast,Goretusk Firebeast,JUD,91,2002-05-27
Legendary Creature — Human Barbarian Warrior,"Jeska, Warrior Adept",JUD,93,2002-05-27
Creature — Nightmare Orgg,Soulgorger Orgg,JUD,99,2002-05-27
Creature — Human Nightmare Barbarian,Spellgorger Barbarian,JUD,100,2002-05-27
Creature — Nightmare Dragon,Worldgorger Dragon,JUD,103,2002-05-27
Creature — Centaur Druid,Centaur Rootcaster,JUD,109,2002-05-27
Creature — Centaur Shaman,Forcemage Advocate,JUD,116,2002-05-27
Creature — Boar Beast,Giant Warthog,JUD,118,2002-05-27
Creature — Centaur Spirit,Phantom Centaur,JUD,127,2002-05-27
Creature — Insect Spirit,Phantom Nantuko,JUD,128,2002-05-27
Legendary Creature — Insect Druid,"Thriss, Nantuko Primus",JUD,134,2002-05-27
Creature — Cat Beast Spirit,Phantom Nishoba,JUD,140,2002-05-27
Creature — Bird Cleric,Aven Soulgazer,ONS,8,2002-10-07
Creature — Cleric Avatar,Doubtless One,ONS,27,2002-10-07
Legendary Creature — Cat Giant,"Jareth, Leonine Titan",ONS,43,2002-10-07
Creature — Human Soldier Rebel,Whipcorder,ONS,60,2002-10-07
Legendary Creature — Wizard,Arcanis the Omnipotent,ONS,66,2002-10-07
Creature — Illusion Mutant,Mistform Mutant,ONS,95,2002-10-07
Creature — Wizard Avatar,Nameless One,ONS,100,2002-10-07
Creature — Fish Beast,Slipstream Eel,ONS,114,2002-10-07
Creature — Zombie Centaur,Accursed Centaur,ONS,123,2002-10-07
Creature — Zombie Frog Beast,Anurid Murkdiver,ONS,124,2002-10-07
Creature — Zombie Bird,Aphetto Vulture,ONS,126,2002-10-07
Creature — Zombie Cleric,Boneknitter,ONS,128,2002-10-07
Creature — Human Cleric Mercenary,Doomed Necromancer,ONS,140,2002-10-07
Creature — Zombie Cat,Entrails Feaster,ONS,143,2002-10-07
Creature — Zombie Goblin,Festering Goblin,ONS,148,2002-10-07
Creature — Zombie Insect,Nantuko Husk,ONS,159,2002-10-07
Creature — Pangolin Beast,Prowling Pangolin,ONS,163,2002-10-07
Creature — Zombie Avatar,Soulless One,ONS,171,2002-10-07
Creature — Zombie Beast,Spined Basher,ONS,172,2002-10-07
Creature — Zombie Barbarian,Undead Gladiator,ONS,178,2002-10-07
Legendary Creature — Gorgon,Visara the Dreadful,ONS,179,2002-10-07
Creature — Goblin Avatar,Reckless One,ONS,222,2002-10-07
Creature — Wolverine Beast,Spurred Wolverine,ONS,237,2002-10-07
Creature — Elf Wizard Shaman,Bloodline Shaman,ONS,249,2002-10-07
Creature — Elf Avatar,Heedless One,ONS,265,2002-10-07
Creature — Insect Beast,Symbiotic Beast,ONS,287,2002-10-07
Creature — Soldier,Daru Stinger,LGN,10,2003-02-03
Creature — Human Cleric Mutant,Starlight Invoker,LGN,20,2003-02-03
Creature — Bird Soldier Warrior,Wingbeat Warrior,LGN,29,2003-02-03
Creature — Human Wizard Mutant,Glintwing Invoker,LGN,40,2003-02-03
Creature — Illusion Sliver,Mistform Sliver,LGN,46,2003-02-03
Legendary Creature — (all creature types),Mistform Ultimus,LGN,47,2003-02-03
Creature — Goblin Mercenary,Goblin Turncoat,LGN,72,2003-02-03
Creature — Zombie Spirit,Graveborn Muse,LGN,73,2003-02-03
Legendary Creature — Avatar Minion,Phage the Untouchable,LGN,78,2003-02-03
Creature — Zombie Mutant,Smokespew Invoker,LGN,81,2003-02-03
Creature — Sliver Spirit,Spectral Sliver,LGN,83,2003-02-03
Creature — Dinosaur Beast,Frenetic Raptor,LGN,93,2003-02-03
Creature — Elf Mutant,Elvish Soultiller,LGN,124,2003-02-03
Creature — Beast Mutant,Krosan Cloudscraper,LGN,130,2003-02-03
Creature — Cat Beast,Krosan Vorine,LGN,131,2003-02-03
Creature — Insect Druid Mutant,Nantuko Vigilante,LGN,132,2003-02-03
Creature — Dragon Spirit,Eternal Dragon,SCG,12,2003-05-26
Creature — Zombie Dinosaur Beast,Putrid Raptor,SCG,71,2003-05-26
Creature — Dragon Wizard,Dragon Mage,SCG,87,2003-05-26
Creature — Human Barbarian Shaman,Dragonspeaker Shaman,SCG,89,2003-05-26
Legendary Creature — Zombie Dragon,Bladewing the Risen,SCG,136,2003-05-26
Legendary Creature — Sliver Mutant,Sliver Overlord,SCG,139,2003-05-26
Creature — Cat Cleric,Leonin Abunas,MRD,8,2003-10-02
Creature — Cat Knight,Leonin Skyhunter,MRD,11,2003-10-02
Creature — Elephant Cleric,Loxodon Mender,MRD,12,2003-10-02
Creature — Elephant Soldier,Loxodon Peacekeeper,MRD,13,2003-10-02
Creature — Slith,Slith Ascendant,MRD,23,2003-10-02
Creature — Drone,Looming Hoverguard,MRD,38,2003-10-02
Creature — Vedalken Wizard,Lumengrid Augur,MRD,39,2003-10-02
Legendary Creature — Elf,Glissa Sunseeker,MRD,120,2003-10-02
Creature — Elemental Insect,Living Hive,MRD,124,2003-10-02
Creature — Slug Beast,Molder Slug,MRD,125,2003-10-02
Creature — Troll Warrior,Tel-Jilad Exile,MRD,133,2003-10-02
Creature — Troll Shaman,Troll Ascetic,MRD,135,2003-10-02
Artifact Creature — Myr,Alpha Myr,MRD,142,2003-10-02
Artifact — Equipment,Banshee's Blade,MRD,144,2003-10-02
Artifact Creature — Boar Beast,Clockwork Vorrac,MRD,156,2003-10-02
Artifact Creature — Scorpion,Dross Scorpion,MRD,164,2003-10-02
Artifact Creature — Elf,Elf Replica,MRD,167,2003-10-02
Artifact Creature — Frog,Frogmite,MRD,172,2003-10-02
Artifact Creature — Goblin,Goblin Replica,MRD,178,2003-10-02
Artifact Creature — Zombie,Nim Replica,MRD,220,2003-10-02
Artifact Creature — Elemental,Rust Elemental,MRD,234,2003-10-02
Artifact Creature — Sheep,Rustspore Ram,MRD,235,2003-10-02
Legendary Artifact — Equipment,Sword of Kaldra,MRD,251,2003-10-02
Artifact Creature — Wizard,Wizard Replica,MRD,275,2003-10-02
Artifact Land,Ancient Den,MRD,278,2003-10-02
Land — Locus,Cloudpost,MRD,280,2003-10-02
Creature — Cat Wizard,Leonin Battlemage,DST,5,2004-02-06
Creature — Dinosaur Spirit,Pteron Ghost,DST,10,2004-02-06
Creature — Vedalken Artificer,Synod Artificer,DST,34,2004-02-06
Legendary Creature — Goblin Artificer,"Slobad, Goblin Tinkerer",DST,69,2004-02-06
Artifact Creature — Horror,Arcbound Fiend,DST,96,2004-02-06
Artifact Creature — Slith,Arcbound Slith,DST,102,2004-02-06
Artifact Creature — Gargoyle,Darksteel Gargoyle,DST,111,2004-02-06
Artifact Creature — Leviathan,Eater of Days,DST,120,2004-02-06
Legendary Artifact Creature — Wizard,Memnarch,DST,129,2004-02-06
Artifact Creature — Golem Construct,Voltaic Construct,DST,156,2004-02-06
Creature — Bringer,Bringer of the White Dawn,5DN,7,2004-06-04
Legendary Creature — Cat Soldier,Raksha Golden Cub,5DN,12,2004-06-04
Creature — Zombie Crocodile,Dross Crocodile,5DN,47,2004-06-04
Creature — Human Rogue Rigger,Moriok Rigger,5DN,54,2004-06-04
Creature — Ouphe Rogue,Ouphe Vandals,5DN,90,2004-06-04
Creature — Elf Warrior Scout,Viridian Scout,5DN,100,2004-06-04
Artifact Creature — Spider,Arachnoid,5DN,102,2004-06-04
Artifact Creature — Fish,Skyreach Manta,5DN,152,2004-06-04
Artifact Creature — Egg,Summoner's Egg,5DN,157,2004-06-04
Instant — Arcane,Blessed Breath,CHK,1,2004-10-01
Legendary Creature — Human Samurai,Bushi Tenderfoot // Kenzo the Hardhearted,CHK,2,2004-10-01
Sorcery — Arcane,Cleanfall,CHK,6,2004-10-01
Creature — Human Samurai,Devoted Retainer,CHK,7,2004-10-01
Legendary Creature — Fox Cleric,Eight-and-a-Half-Tails,CHK,8,2004-10-01
Legendary Creature — Spirit,"Hikari, Twilight Guardian",CHK,12,2004-10-01
Legendary Enchantment — Shrine,Honden of Cleansing Fire,CHK,14,2004-10-01
Legendary Creature — Dog,"Isamaru, Hound of Konda",CHK,19,2004-10-01
Creature — Fox Samurai,Kitsune Blademaster,CHK,25,2004-10-01
Creature — Fox Cleric,Kitsune Diviner,CHK,26,2004-10-01
Legendary Creature — Fox Wizard,"Kitsune Mystic // Autumn-Tail, Kitsune Sage",CHK,28,2004-10-01
Creature — Fox Wizard,"Kitsune Mystic // Autumn-Tail, Kitsune Sage",CHK,28,2004-10-01
Legendary Creature — Fox Samurai,Sensei Golden-Tail,CHK,44,2004-10-01
Creature — Zubera Spirit,Silent-Chant Zubera,CHK,45,2004-10-01
Legendary Creature — Dragon Spirit,"Yosei, the Morning Star",CHK,50,2004-10-01
Legendary Creature — Moonfolk Wizard,Meloku the Clouded Mirror,CHK,74,2004-10-01
Creature — Moonfolk Rogue,Soratami Cloudskater,CHK,86,2004-10-01
Creature — Moonfolk Wizard,Soratami Mirror-Guard,CHK,87,2004-10-01
Creature — Ogre Warrior Shaman,Bloodthirsty Ogre,CHK,104,2004-10-01
Creature — Demon Spirit,Gutwrencher Oni,CHK,113,2004-10-01
Legendary Creature — Rat Rogue,Marrow-Gnawer,CHK,124,2004-10-01
Creature — Rat Shaman,Nezumi Bone-Reader,CHK,127,2004-10-01
Creature — Rat Warrior,Nezumi Cutthroat,CHK,128,2004-10-01
Creature — Rat Rogue,Nezumi Graverobber // Nighteyes the Desecrator,CHK,129,2004-10-01
Legendary Creature — Rat Wizard,Nezumi Graverobber // Nighteyes the Desecrator,CHK,129,2004-10-01
Creature — Rat Samurai,Nezumi Ronin,CHK,130,2004-10-01
Legendary Creature — Rat Shaman,Nezumi Shortfang // Stabwhisker the Odious,CHK,131,2004-10-01
Legendary Enchantment,Night of Souls' Betrayal,CHK,133,2004-10-01
Legendary Creature — Goblin Shaman,"Akki Lavarunner // Tok-Tok, Volcano Born",CHK,153,2004-10-01
Creature — Goblin Rogue Shaman,Akki Underminer,CHK,155,2004-10-01
Legendary Creature — Ogre Shaman,Initiate of Blood // Goka the Unjust,CHK,173,2004-10-01
Legendary Creature — Goblin Warrior,Zo-Zu the Punisher,CHK,200,2004-10-01
Legendary Creature — Human Monk,"Azusa, Lost but Seeking",CHK,201,2004-10-01
Creature — Snake Shaman,"Orochi Eggwatcher // Shidako, Broodmistress",CHK,233,2004-10-01
Legendary Creature — Snake Shaman,"Orochi Eggwatcher // Shidako, Broodmistress",CHK,233,2004-10-01
Legendary Creature — Snake Monk,Seshiro the Anointed,CHK,241,2004-10-01
Legendary Creature — Snake Warrior,"Shisato, Whispering Hunter",CHK,242,2004-10-01
Creature — Human Samurai Archer,Takeno's Cavalry,BOK,24,2005-02-04
Legendary Creature — Human Ninja,"Higure, the Still Wind",BOK,37,2005-02-04
Creature — Human Ninja,Mistblade Shinobi,BOK,43,2005-02-04
Legendary Creature — Rat Ninja,"Ink-Eyes, Servant of Oni",BOK,71,2005-02-04
Creature — Rat Ninja,Okiba-Gang Shinobi,BOK,76,2005-02-04
Creature — Snake Warrior Archer,Matsu-Tribe Sniper,BOK,136,2005-02-04
Legendary Enchantment — Aura,Genju of the Realm,BOK,151,2005-02-04
Legendary Creature — Kirin Spirit,Celestial Kirin,SOK,3,2005-06-03
Legendary Creature — Fox Monk,"Rune-Tail, Kitsune Ascendant // Rune-Tail's Essence",SOK,27,2005-06-03
Legendary Creature — Moonfolk Monk,"Erayo, Soratami Ascendant // Erayo's Essence",SOK,35,2005-06-03
Creature — Shapeshifter Spirit,Shape Stealer,SOK,55,2005-06-03
Legendary Creature — Ogre Monk,"Kuon, Ogre Ascendant // Kuon's Essence",SOK,78,2005-06-03
Creature — Ogre Samurai Mercenary,Sokenzan Renegade,SOK,114,2005-06-03
Creature — Ogre Samurai Shaman,Sokenzan Spellblade,SOK,115,2005-06-03
Creature — Snake Shaman Scout,Sakura-Tribe Scout,SOK,144,2005-06-03
Creature — Archon,Blazing Archon,RAV,4,2005-10-07
Creature — Camel Beast,Dromad Purebred,RAV,15,2005-10-07
Creature — Lammasu,Hunted Lammasu,RAV,22,2005-10-07
Creature — Faerie Rogue,Surveilling Sprite,RAV,67,2005-10-07
Creature — Zombie Drake,Tattered Drake,RAV,68,2005-10-07
Creature — Elemental Minion,Tidewater Minion,RAV,71,2005-10-07
Creature — Zombie Wolf,Carrion Howler,RAV,79,2005-10-07
Creature — Ogre Rogue,Mausoleum Turnkey,RAV,94,2005-10-07
Creature — Giant Warrior,Hammerfist Giant,RAV,130,2005-10-07
Creature — Minotaur Soldier,Ordruun Commando,RAV,137,2005-10-07
Creature — Troll Skeleton,Golgari Grave-Troll,RAV,167,2005-10-07
Creature — Dryad Shaman,Ivy Dancer,RAV,171,2005-10-07
Creature — Elemental Warrior,Root-Kin Ally,RAV,180,2005-10-07
Legendary Creature — Dryad,Chorus of the Conclave,RAV,195,2005-10-07
Creature — Elemental Berserker,Flame-Kin Zealot,RAV,206,2005-10-07
Creature — Plant Hydra,Phytohydra,RAV,218,2005-10-07
Legendary Creature — Elf Shaman,"Savra, Queen of the Golgari",RAV,225,2005-10-07
Creature — Plant Zombie,Shambling Shell,RAV,230,2005-10-07
Creature — Elemental Horror,Woodwraith Corrupter,RAV,240,2005-10-07
Creature — Centaur Warrior,Centaur Safeguard,RAV,244,2005-10-07
Creature — Insect Horror,Gleancrawler,RAV,247,2005-10-07
Creature — Thrull Cleric,Absolver Thrull,GPT,1,2006-02-03
Creature — Elephant Wizard,Spelltithe Enforcer,GPT,18,2006-02-03
Creature — Weird,Steamcore Weird,GPT,35,2006-02-03
Creature — Vampire Skeleton,Skeletal Vampire,GPT,62,2006-02-03
Creature — Ogre Wizard,Ogre Savant,GPT,70,2006-02-03
Creature — Centaur Berserker,Ghor-Clan Savage,GPT,86,2006-02-03
Creature — Elf Rogue,Silhana Ledgewalker,GPT,94,2006-02-03
Creature — Elf Druid Archer,Silhana Starfletcher,GPT,95,2006-02-03
Legendary Creature — Cyclops,Borborygmos,GPT,103,2006-02-03
Creature — Viashino Berserker,Burning-Tree Bloodscale,GPT,104,2006-02-03
Creature — Nephilim,Dune-Brood Nephilim,GPT,110,2006-02-03
Legendary Creature — Dragon Wizard,"Niv-Mizzet, the Firemind",GPT,123,2006-02-03
Legendary Creature — Hellion Hydra,"Ulasht, the Hate Seed",GPT,136,2006-02-03
Creature — Faerie Wizard,Wee Dragonauts,GPT,137,2006-02-03
Creature — Vedalken Knight,Court Hussar,DIS,22,2006-05-05
Creature — Human Advisor Mutant,Novijen Sages,DIS,27,2006-05-05
Creature — Faerie Scout,Silkwing Scout,DIS,31,2006-05-05
Creature — Vedalken Wizard Mutant,Vigean Graftmage,DIS,35,2006-05-05
